,Year,County,Violent Crime Arrests,Estimated Population,Arrests Per Capita
910,2018,Yolo,575,221270,0.002598635151624712
911,2018,Yuba,391,74727,0.0052323791935980305
912,2019,Alameda,3853,1669301,0.002308151735367079
913,2019,Alpine,11,1162,0.00946643717728055
914,2019,Amador,93,38294,0.0024285788896432864
915,2019,Butte,695,226466,0.0030688933438131993
916,2019,Calaveras,134,45117,0.0029700556331316353
917,2019,Colusa,59,22117,0.002667631233892481
918,2019,Contra Costa,2722,1155879,0.0023549177725350145
919,2019,Del Norte,128,27401,0.004671362359037991
920,2019,El Dorado,524,191848,0.0027313289687669407
921,2019,Fresno,3471,1018241,0.0034088197194966615
922,2019,Glenn,98,29132,0.0033639983523273374
923,2019,Humboldt,496,135333,0.0036650336577183688
924,2019,Imperial,368,190266,0.0019341343172190513
925,2019,Inyo,89,18593,0.004786747700747593
926,2019,Kern,3159,916464,0.003446943906143613
927,2019,Kings,591,153710,0.0038449027389239475
