County,Year,Population
Siskiyou,1986,41295
Solano,1986,278605
Sonoma,1986,338760
Stanislaus,1986,307350
Sutter,1986,58170
Tehama,1986,44330
Trinity,1986,12750
Tulare,1986,283725
Tuolumne,1986,41080
Ventura,1986,604325
Yolo,1986,124140
Yuba,1986,53330
Alameda,1987,1220650
Alpine,1987,1130
Amador,1987,23330
Butte,1987,166140
Calaveras,1987,26810
Colusa,1987,14820
Contra Costa,1987,733400
Del Norte,1987,19780
El Dorado,1987,105275
Fresno,1987,601290
Glenn,1987,22970
Humboldt,1987,112145
Imperial,1987,100550
Inyo,1987,17760
Kern,1987,492940
Kings,1987,84430
Lake,1987,46840
Lassen,1987,25725
Los Angeles,1987,8452090
Madera,1987,77325
Marin,1987,221655
Mariposa,1987,12800
Mendocino,1987,75025
Merced,1987,161310
Modoc,1987,9200
Mono,1987,8820
Monterey,1987,335865
Napa,1987,104570
Nevada,1987,68515
Orange,1987,2243500
Placer,1987,147305
Plumas,1987,18780
Riverside,1987,919660
Sacramento,1987,934700
San Benito,1987,32050
San Bernardino,1987,1155600
San Diego,1987,2223710
San Francisco,1987,736700
San Joaquin,1987,441610
San Luis Obispo,1987,193950
San Mateo,1987,622700
Santa Barbara,1987,348250
Santa Clara,1987,1427020
Santa Cruz,1987,215400
Shasta,1987,132650
Sierra,1987,3170
Siskiyou,1987,41250
Solano,1987,291560
Sonoma,1987,348560
Stanislaus,1987,318855
Sutter,1987,59210
Tehama,1987,45155
Trinity,1987,12600
Tulare,1987,289725
Tuolumne,1987,42400
Ventura,1987,618825
Yolo,1987,126400
Yuba,1987,54170
Alameda,1988,1242380
Alpine,1988,1100
Amador,1988,25770
Butte,1988,170790
Calaveras,1988,28170
Colusa,1988,15075
Contra Costa,1988,750900
Del Norte,1988,20450
El Dorado,1988,110725
Fresno,1988,618340
Glenn,1988,23265
Humboldt,1988,113715
Imperial,1988,102570
Inyo,1988,17780
Kern,1988,504230
Kings,1988,90000
Lake,1988,47830
Lassen,1988,26425
Los Angeles,1988,8585275
Madera,1988,79975
Marin,1988,222085
Mariposa,1988,13150
Mendocino,1988,76190
Merced,1988,165490
Modoc,1988,9185
Mono,1988,8970
Monterey,1988,340785
Napa,1988,105510
Nevada,1988,71385
Orange,1988,2292425
Placer,1988,154005
Plumas,1988,19140
Riverside,1988,983860
Sacramento,1988,967060
San Benito,1988,33380
San Bernardino,1988,1229435
San Diego,1988,2300910
San Francisco,1988,733300
San Joaquin,1988,454795
San Luis Obispo,1988,198850
San Mateo,1988,629825
Santa Barbara,1988,352965
Santa Clara,1988,1445000
Santa Cruz,1988,219200
Shasta,1988,136225
Sierra,1988,3230
Siskiyou,1988,41655
Solano,1988,304490
Sonoma,1988,359620
Stanislaus,1988,331715
Sutter,1988,60580
Tehama,1988,46280
Trinity,1988,12700
Tulare,1988,296100
Tuolumne,1988,44160
Ventura,1988,635875
Yolo,1988,131530
Yuba,1988,55310
Alameda,1989,1261175
Alpine,1989,1090
Amador,1989,27585
Butte,1989,175180
Calaveras,1989,29720
Colusa,1989,15630
Contra Costa,1989,772800
Del Norte,1989,20630
El Dorado,1989,116800
Fresno,1989,638385
Glenn,1989,23865
Humboldt,1989,115860
Imperial,1989,104920
Inyo,1989,17940
Kern,1989,518330
Kings,1989,95150
Lake,1989,48750
Lassen,1989,27050
Los Angeles,1989,8706540
Madera,1989,82175
Marin,1989,224445
Mariposa,1989,13450
Mendocino,1989,77660
Merced,1989,169985
Modoc,1989,9325
Mono,1989,9190
Monterey,1989,344215
Napa,1989,107170
Nevada,1989,74065
Orange,1989,2344225
Placer,1989,160880
Plumas,1989,19320
Riverside,1989,1057215
Sacramento,1989,996450
San Benito,1989,34970
San Bernardino,1989,1310775
San Diego,1989,2388680
San Francisco,1989,727500
San Joaquin,1989,466295
San Luis Obispo,1989,205800
San Mateo,1989,638310
Santa Barbara,1989,359915
Santa Clara,1989,1471040
Santa Cruz,1989,224550
Shasta,1989,140075
Sierra,1989,3220
Siskiyou,1989,42395
Solano,1989,318050
Sonoma,1989,371275
Stanislaus,1989,346365
Sutter,1989,61790
Tehama,1989,47425
Trinity,1989,13000
Tulare,1989,301550
Tuolumne,1989,46050
Ventura,1989,653425
Yolo,1989,135010
Yuba,1989,56280
Alameda,1990,1274800
Alpine,1990,1100
Amador,1990,29610
Butte,1990,180420
Calaveras,1990,31540
Colusa,1990,16155
Contra Costa,1990,797600
Del Norte,1990,21660
El Dorado,1990,123900
Fresno,1990,661435
Glenn,1990,24550
Humboldt,1990,118380
Imperial,1990,108330
Inyo,1990,18200
Kern,1990,537315
Kings,1990,100800
Lake,1990,50160
Lassen,1990,27000
Los Angeles,1990,8832675
Madera,1990,86375
Marin,1990,229950
Mariposa,1990,14050
Mendocino,1990,79725
Merced,1990,176335
Modoc,1990,9590
Mono,1990,9750
Monterey,1990,353340
Napa,1990,109960
Nevada,1990,77410
Orange,1990,2398275
Placer,1990,170110
Plumas,1990,19620
Riverside,1990,1144370
Sacramento,1990,1031525
San Benito,1990,36420
San Bernardino,1990,1396675
San Diego,1990,2480080
San Francisco,1990,724100
San Joaquin,1990,477720
San Luis Obispo,1990,215000
San Mateo,1990,647370
Santa Barbara,1990,368035
Santa Clara,1990,1493815
Santa Cruz,1990,228700
Shasta,1990,145375
Sierra,1990,3280
Siskiyou,1990,43315
Solano,1990,335190
Sonoma,1990,384665
Stanislaus,1990,365025
Sutter,1990,63730
Tehama,1990,49100
Trinity,1990,13050
Tulare,1990,309150
